numDisparities,blockSize,P1,P2,valid_ratio,std,score
64,3,72,288,0.587109375,18.724227905273438,-0.3491020202636719
64,5,200,800,0.6258919270833333,19.305259704589844,-0.339371058146159
64,7,392,1568,0.659423828125,19.4946346282959,-0.31530790328979497
64,9,648,2592,0.686201171875,19.60993003845215,-0.29429533004760755
64,11,968,3872,0.7019108072916667,19.674545288085938,-0.28181645711263026
64,13,1352,5408,0.7209993489583333,19.79446792602539,-0.2687240473429363
80,3,72,288,0.6671484375,26.228256225585938,-0.6442643737792969
80,5,200,800,0.7019270833333333,26.275144577026367,-0.6118301455179851
80,7,392,1568,0.7270377604166667,26.222389221191406,-0.5840817006429038
80,9,648,2592,0.7509733072916667,26.083602905273438,-0.5532068379720052
80,11,968,3872,0.7636002604166666,26.046913146972656,-0.5387453969319663
80,13,1352,5408,0.7762239583333334,25.988487243652344,-0.523200403849284
96,3,72,288,0.6627278645833333,26.968412399291992,-0.6856927553812663
96,5,200,800,0.6947428385416666,26.807729721069336,-0.6456436475118003
96,7,392,1568,0.718623046875,26.70319938659668,-0.6165369224548342
96,9,648,2592,0.7389908854166667,26.471193313598633,-0.5845687802632651
96,11,968,3872,0.749638671875,26.346317291259766,-0.5676771926879883
96,13,1352,5408,0.76150390625,26.27801513671875,-0.5523968505859376
112,3,72,288,0.6486393229166667,27.03310203552246,-0.7030157788594564
112,5,200,800,0.6807845052083333,26.87445068359375,-0.6629380289713543
112,7,392,1568,0.7028515625,26.76173973083496,-0.6352354240417482
112,9,648,2592,0.7247265625,26.58455467224121,-0.6045011711120606
112,11,968,3872,0.736123046875,26.483930587768555,-0.588073482513428
112,13,1352,5408,0.74619140625,26.38209342956543,-0.5729132652282715
128,3,72,288,0.6327408854166666,26.966503143310547,-0.7155842717488609
128,5,200,800,0.6645638020833333,26.80251121520996,-0.6755617586771647
128,7,392,1568,0.6853743489583334,26.51529312133789,-0.6403903071085612
128,9,648,2592,0.7061783854166667,26.285757064819336,-0.6081094678243003
128,11,968,3872,0.7178352864583334,26.181476593017578,-0.5912385431925457
128,13,1352,5408,0.72826171875,26.13929557800293,-0.5787030601501466
144,3,72,288,0.6164095052083334,26.919689178466797,-0.7295749537150065
144,5,200,800,0.6463313802083334,26.819732666015625,-0.694655253092448
144,7,392,1568,0.6672884114583333,26.5632266998291,-0.6608729235331219
144,9,648,2592,0.6880598958333334,26.37507438659668,-0.6306938234965006
144,11,968,3872,0.6976236979166667,26.202116012573242,-0.6124821027119954
144,13,1352,5408,0.7073470052083334,26.036706924438477,-0.5944883410135905
160,3,72,288,0.5926171875,26.421653747558594,-0.7284654998779297
160,5,200,800,0.62328125,26.345436096191406,-0.6939905548095704
160,7,392,1568,0.646494140625,26.19670867919922,-0.663341293334961
160,9,648,2592,0.6660091145833333,25.971622467041016,-0.6325720087687174
160,11,968,3872,0.67580078125,25.858612060546875,-0.6171298217773438
160,13,1352,5408,0.6858430989583333,25.661470413208008,-0.5972304217020672
176,3,72,288,0.570126953125,25.606836318969727,-0.7102148628234866
176,5,200,800,0.6018098958333333,25.75422477722168,-0.6859013430277507
176,7,392,1568,0.6238932291666667,25.440282821655273,-0.648120911916097
176,9,648,2592,0.642392578125,25.18934440612793,-0.6170746421813966
176,11,968,3872,0.65296875,25.081893920898438,-0.601125946044922
176,13,1352,5408,0.662333984375,24.95716094970703,-0.5855240631103515
192,3,72,288,0.5475455729166666,24.860061645507812,-0.6954575093587242
192,5,200,800,0.5781966145833334,24.710342407226562,-0.6573205057779948
192,7,392,1568,0.5992578125,24.525978088378906,-0.6270410919189454
192,9,648,2592,0.6184895833333334,24.291349411010742,-0.5960778872172038
192,11,968,3872,0.6293587239583334,24.377504348754883,-0.5895164934794108
192,13,1352,5408,0.6398470052083334,24.322067260742188,-0.576256357828776
208,3,72,288,0.5247688802083333,24.225231170654297,-0.6864926783243815
208,5,200,800,0.5541178385416666,23.84084129333496,-0.6379242261250814
208,7,392,1568,0.5747005208333333,23.938255310058594,-0.6222122446695963
208,9,648,2592,0.5938118489583334,24.078107833862305,-0.6100935427347819
208,11,968,3872,0.6054069010416666,23.958293914794922,-0.5925077946980796
208,13,1352,5408,0.615576171875,24.364973068237305,-0.6026724815368653
224,3,72,288,0.5008138020833334,22.98109245300293,-0.6482408205668132
224,5,200,800,0.5314388020833334,22.875560760498047,-0.6123392359415689
224,7,392,1568,0.552646484375,23.27629280090332,-0.6111681556701661
224,9,648,2592,0.5709244791666667,22.95473861694336,-0.5768124516805014
224,11,968,3872,0.5808430989583333,22.38347625732422,-0.5383307139078777
224,13,1352,5408,0.590537109375,22.70641326904297,-0.5447835540771484
240,3,72,288,0.48124348958333335,21.940366744995117,-0.6157748476664227
240,5,200,800,0.510205078125,21.847949981689453,-0.5821924209594727
240,7,392,1568,0.5305078125,22.32884407043457,-0.5859343910217285
240,9,648,2592,0.5481412760416666,22.09165382385254,-0.5564414151509605
240,11,968,3872,0.558125,21.379100799560547,-0.5108300399780275
240,13,1352,5408,0.5665071614583334,21.719608306884766,-0.5194732538859049
256,3,72,288,0.459892578125,20.74149513244629,-0.5771821784973143
256,5,200,800,0.4881315104166667,20.763412475585938,-0.5500391133626302
256,7,392,1568,0.508212890625,21.319536209106445,-0.5577639198303223
256,9,648,2592,0.5266048177083333,21.094663619995117,-0.5281283632914227
256,11,968,3872,0.5357649739583333,20.341554641723633,-0.48131275812784835
256,13,1352,5408,0.5439127604166667,20.259370803833008,-0.4690557797749837
272,3,72,288,0.4400911458333333,19.666202545166016,-0.5432189814249675
272,5,200,800,0.46832356770833333,19.78437042236328,-0.5208949534098308
272,7,392,1568,0.486455078125,20.43352699279785,-0.5352212715148926
272,9,648,2592,0.5044466145833333,20.18575668334961,-0.5048412195841472
272,11,968,3872,0.5127473958333333,19.3841609954834,-0.4564606539408367
272,13,1352,5408,0.5201432291666667,19.31847381591797,-0.4457804616292318
288,3,72,288,0.417373046875,18.59406089782715,-0.5123299980163575
288,5,200,800,0.44482096354166667,18.73758316040039,-0.49205819447835286
288,7,392,1568,0.46275390625,19.473852157592773,-0.5109387016296387
288,9,648,2592,0.480908203125,19.244260787963867,-0.48130483627319337
288,11,968,3872,0.4893619791666667,18.351716995239258,-0.4282238705952962
288,13,1352,5408,0.49716796875,18.283580780029297,-0.4170110702514649
304,3,72,288,0.39637369791666666,17.840301513671875,-0.4956413777669272
304,5,200,800,0.42426106770833333,18.037700653076172,-0.47762396494547527
304,7,392,1568,0.44123697916666665,18.8985538482666,-0.5036907132466635
304,9,648,2592,0.4583658854166667,18.62767219543457,-0.47301772435506184
304,11,968,3872,0.4666471354166667,17.658367156982422,-0.4162712224324544
304,13,1352,5408,0.4733528645833333,17.60076332092285,-0.4066853014628093
320,3,72,288,0.3749544270833333,17.290725708007812,-0.4895818583170573
320,5,200,800,0.400146484375,17.530637741088867,-0.4763854026794434
320,7,392,1568,0.41818684895833336,18.47661018371582,-0.5056436602274577
320,9,648,2592,0.43414388020833333,18.231170654296875,-0.47741465250651044
320,11,968,3872,0.441064453125,17.21758460998535,-0.41981477737426764
320,13,1352,5408,0.4483951822916667,17.158708572387695,-0.40954024632771807
